date,matchup,result,points,fg_pct,fg3_pct,rebounds,assists,steals,blocks,turnovers,wins,losses,win
"MAR 23, 2026",LAL @ DET,L,110,0.481,0.276,39,27,6,6,12,46,26,0
"MAR 21, 2026",LAL @ ORL,W,105,0.448,0.25,43,19,11,6,12,46,25,1
"MAR 19, 2026",LAL @ MIA,W,134,0.531,0.438,47,23,8,3,11,45,25,1
"MAR 18, 2026",LAL @ HOU,W,124,0.605,0.469,34,30,6,8,13,44,25,1
"MAR 16, 2026",LAL @ HOU,W,100,0.44,0.235,32,17,14,2,11,43,25,1
"MAR 14, 2026",LAL vs. DEN,W,127,0.516,0.333,46,31,10,6,16,42,25,1
"MAR 12, 2026",LAL vs. CHI,W,142,0.556,0.472,41,31,9,4,9,41,25,1
"MAR 10, 2026",LAL vs. MIN,W,120,0.484,0.289,47,31,7,2,6,40,25,1
"MAR 08, 2026",LAL vs. NYK,W,110,0.432,0.341,42,20,10,5,13,39,25,1
"MAR 06, 2026",LAL vs. IND,W,128,0.529,0.459,43,25,5,2,12,38,25,1
"MAR 05, 2026",LAL @ DEN,L,113,0.517,0.419,32,30,12,1,10,37,25,0
"MAR 03, 2026",LAL vs. NOP,W,110,0.47,0.297,48,29,7,12,21,37,24,1
"MAR 01, 2026",LAL vs. SAC,W,128,0.5,0.462,37,34,14,9,9,36,24,1
"FEB 28, 2026",LAL @ GSW,W,129,0.533,0.463,47,29,7,5,9,35,24,1
"FEB 26, 2026",LAL @ PHX,L,110,0.507,0.379,39,20,8,2,12,34,24,0
"FEB 24, 2026",LAL vs. ORL,L,109,0.482,0.31,39,24,6,8,12,34,23,0
"FEB 22, 2026",LAL vs. BOS,L,89,0.391,0.3,39,18,7,5,8,34,22,0
"FEB 20, 2026",LAL vs. LAC,W,125,0.518,0.548,32,31,8,4,12,34,21,1
"FEB 12, 2026",LAL vs. DAL,W,124,0.558,0.323,44,35,8,3,12,33,21,1
"FEB 10, 2026",LAL vs. SAS,L,108,0.482,0.44,34,23,7,2,18,32,21,0
"FEB 09, 2026",LAL vs. OKC,L,110,0.5,0.323,37,25,7,2,15,32,20,0
"FEB 07, 2026",LAL vs. GSW,W,105,0.507,0.407,41,29,7,10,22,32,19,1
"FEB 05, 2026",LAL vs. PHI,W,119,0.557,0.36,42,27,8,4,22,31,19,1
"FEB 03, 2026",LAL @ BKN,W,125,0.541,0.226,41,25,14,0,12,30,19,1
"FEB 01, 2026",LAL @ NYK,L,100,0.452,0.286,36,21,5,3,10,29,19,0
"JAN 30, 2026",LAL @ WAS,W,142,0.612,0.424,46,38,17,4,16,29,18,1
"JAN 28, 2026",LAL @ CLE,L,99,0.481,0.281,36,21,7,3,16,28,18,0
"JAN 26, 2026",LAL @ CHI,W,129,0.561,0.485,35,26,7,3,6,28,17,1
"JAN 24, 2026",LAL @ DAL,W,116,0.444,0.412,57,26,7,8,14,27,17,1
"JAN 22, 2026",LAL @ LAC,L,104,0.455,0.333,34,24,14,8,10,26,17,0
"JAN 20, 2026",LAL @ DEN,W,115,0.506,0.4,51,24,3,2,12,26,16,1
"JAN 18, 2026",LAL vs. TOR,W,110,0.482,0.389,48,25,6,6,15,25,16,1
"JAN 17, 2026",LAL @ POR,L,116,0.494,0.419,27,25,8,6,15,24,16,0
"JAN 15, 2026",LAL vs. CHA,L,117,0.462,0.368,35,18,8,4,9,24,15,0
"JAN 13, 2026",LAL vs. ATL,W,141,0.578,0.559,47,36,2,3,14,24,14,1
"JAN 12, 2026",LAL @ SAC,L,112,0.488,0.222,39,21,9,2,10,23,14,0
"JAN 09, 2026",LAL vs. MIL,L,101,0.429,0.417,45,28,9,0,12,23,13,0
"JAN 07, 2026",LAL @ SAS,L,91,0.395,0.231,45,16,9,2,17,23,12,0
"JAN 06, 2026",LAL @ NOP,W,111,0.506,0.355,44,30,11,6,14,23,11,1
"JAN 04, 2026",LAL vs. MEM,W,120,0.475,0.268,45,30,4,6,10,22,11,1
"JAN 02, 2026",LAL vs. MEM,W,128,0.584,0.344,42,26,9,4,20,21,11,1
"DEC 30, 2025",LAL vs. DET,L,106,0.451,0.282,33,28,10,3,20,20,11,0
"DEC 28, 2025",LAL vs. SAC,W,125,0.528,0.395,41,25,14,4,15,20,10,1
"DEC 25, 2025",LAL vs. HOU,L,96,0.506,0.367,25,19,7,5,16,19,10,0
"DEC 23, 2025",LAL @ PHX,L,108,0.481,0.375,38,22,7,4,17,19,9,0
"DEC 20, 2025",LAL @ LAC,L,88,0.386,0.158,43,16,7,3,11,19,8,0
"DEC 18, 2025",LAL @ UTA,W,143,0.527,0.333,48,32,7,2,7,19,7,1
"DEC 14, 2025",LAL @ PHX,W,116,0.432,0.189,54,20,13,8,21,18,7,1
"DEC 10, 2025",LAL vs. SAS,L,119,0.494,0.432,43,27,4,7,11,17,7,0
"DEC 07, 2025",LAL @ PHI,W,112,0.482,0.361,52,25,3,8,10,17,6,1
"DEC 05, 2025",LAL @ BOS,L,105,0.429,0.4,35,15,8,2,14,16,6,0
"DEC 04, 2025",LAL @ TOR,W,123,0.5,0.419,38,26,7,7,11,16,5,1
"DEC 01, 2025",LAL vs. PHX,L,108,0.513,0.394,39,18,1,0,21,15,5,0
"NOV 30, 2025",LAL vs. NOP,W,133,0.483,0.366,46,26,4,10,8,15,4,1
"NOV 28, 2025",LAL vs. DAL,W,129,0.592,0.514,34,27,4,4,14,14,4,1
"NOV 25, 2025",LAL vs. LAC,W,135,0.575,0.448,38,29,9,4,11,13,4,1
"NOV 23, 2025",LAL @ UTA,W,108,0.442,0.263,45,23,7,4,14,12,4,1
"NOV 18, 2025",LAL vs. UTA,W,140,0.595,0.344,41,31,9,1,17,11,4,1
"NOV 15, 2025",LAL @ MIL,W,119,0.494,0.394,47,23,13,4,15,10,4,1
"NOV 14, 2025",LAL @ NOP,W,118,0.524,0.294,45,28,13,5,17,9,4,1
"NOV 12, 2025",LAL @ OKC,L,92,0.403,0.314,42,19,9,0,20,8,4,0
"NOV 10, 2025",LAL @ CHA,W,121,0.5,0.359,36,25,12,2,11,8,3,1
"NOV 08, 2025",LAL @ ATL,L,102,0.457,0.4,47,23,8,5,19,7,3,0
"NOV 05, 2025",LAL vs. SAS,W,118,0.446,0.323,38,23,8,5,12,7,2,1
"NOV 03, 2025",LAL @ POR,W,123,0.588,0.391,34,29,11,5,17,6,2,1
"NOV 02, 2025",LAL vs. MIA,W,130,0.505,0.326,41,33,14,2,11,5,2,1
"OCT 31, 2025",LAL @ MEM,W,117,0.513,0.342,40,24,8,3,13,4,2,1
"OCT 29, 2025",LAL @ MIN,W,116,0.542,0.355,40,34,6,5,18,3,2,1
"OCT 27, 2025",LAL vs. POR,L,108,0.465,0.259,42,23,11,5,23,2,2,0
"OCT 26, 2025",LAL @ SAC,W,127,0.488,0.32,47,26,9,3,17,2,1,1
"OCT 24, 2025",LAL vs. MIN,W,128,0.592,0.414,38,26,6,3,10,1,1,1
"OCT 21, 2025",LAL vs. GSW,L,109,0.545,0.25,39,23,7,2,19,0,1,0
